OBJECTID,Y,X,Elevation,Aspect,Curvature,Profile,Plan,Slope,R,G,B,Rain,Valley_Depth,TPI,TRI,SPI,Dis_river,Dis_road,Geology,LULC,Slop_Length,MRVBF,MRRTF,TWI,NDVI,Gully
23400,4130205.609400000423193,637199.207999999634922,1727,98.5307693,1.2738656,-1.2003733,0.0734922,18.0452728,12559.0000000,11452.0000000,10941.5000000,388.1979370,360.2326660,0.9729730,4.0496912,1080.2716064,280.9593506,1517.1805420,8,13.0000000,0.0000000,0.5563536,0.0055556,7.9879289,0.1863363,N
100918,4134968.681199999526143,611618.710699999704957,1443,180.0000000,0.2547731,-0.2547731,-0.0000000,3.5691254,12726.0000000,11650.5000000,11194.0000000,329.1707458,606.4099121,-1.0000000,1.0000000,560.4982910,1789.5589600,725.0711060,8,13.0000000,28.0180702,2.5858724,0.0085947,10.6787024,0.2077198,N
301069,4134695.221899999305606,631050.240100000053644,1815,62.5255699,0.2547731,-0.1469845,0.1077886,12.5713539,13299.5000000,12122.5000000,11357.5000000,375.3567505,287.0671387,0.4324324,1.3416408,1109.6901855,2914.4033203,2814.3657227,8,13.0000000,0.0000000,0.8566281,0.1883903,7.2837415,0.1479089,G
301178,4134696.221899999305606,631053.240100000053644,1815,62.5255699,0.2547731,-0.1469845,0.1077886,12.5713539,13299.5000000,12122.5000000,11357.5000000,375.3567505,287.0671387,0.4324324,1.3416408,1109.6901855,2887.8740234,2821.5090332,8,13.0000000,0.0000000,0.8566281,0.1883903,7.2837415,0.1479089,G
301291,4134697.221899999305606,631060.240100000053644,1815,62.5255699,0.2547731,-0.1469845,0.1077886,12.5713539,13685.0000000,12380.5000000,11515.0000000,375.3567505,289.1037598,0.2972973,2.3664320,1109.6901855,2887.8740234,2821.5090332,8,13.0000000,39.6235352,0.5660495,0.1203978,7.1648626,0.1479089,G
301399,4134698.221899999305606,631062.240100000053644,1815,62.5255699,0.2547731,-0.1469845,0.1077886,12.5713539,13685.0000000,12380.5000000,11515.0000000,375.3567505,289.1037598,0.2972973,2.3664320,1109.6901855,2887.8740234,2821.5090332,8,13.0000000,39.6235352,0.5660495,0.1203978,7.1648626,0.1479089,G
301620,4134700.221899999305606,631069.240100000053644,1815,62.5255699,0.2547731,-0.1469845,0.1077886,12.5713539,13685.0000000,12380.5000000,11515.0000000,375.3567505,289.1037598,0.2972973,2.3664320,1123.1645508,2887.8740234,2821.5090332,8,13.0000000,39.6235352,0.5660495,0.1203978,7.1648626,0.1479089,G
301733,4134701.221899999305606,631073.240100000053644,1811,57.9946175,-0.5095462,0.4585916,-0.0509546,8.4177656,13685.0000000,12380.5000000,11515.0000000,375.3567505,289.1037598,0.2972973,2.3664320,1123.1645508,2887.8740234,2821.5090332,8,13.0000000,39.6235352,0.5660495,0.1203978,7.1648626,0.1479089,G
301846,4134702.221899999305606,631076.240100000053644,1811,57.9946175,-0.5095462,0.4585916,-0.0509546,8.4177656,13685.0000000,12380.5000000,11515.0000000,375.3567505,289.1037598,0.2972973,2.3664320,1114.2858887,2887.8740234,2821.5090332,8,13.0000000,39.6235352,0.5660495,0.1203978,7.1648626,0.1479089,G
301849,4134702.221899999305606,631079.240100000053644,1811,57.9946175,-0.5095462,0.4585916,-0.0509546,8.4177656,13685.0000000,12380.5000000,11515.0000000,375.3567505,289.1037598,0.2972973,2.3664320,1114.2858887,2861.3747559,2828.9133301,8,13.0000000,39.6235352,0.5660495,0.1203978,7.1648626,0.1457801,G
